AAA01478	サリエル	
AAA11111	いのら	ー。
AAA12345	ゲンナリ	
AAA55555	軍曹	
AAA74058	聖霊王ラルド	ラルドです
AAN88253	aaa	
ABA12333	gugugu	aaa
ABC00118	だびで	
ABC01234	4408	
ABC12340	をーたン	
ABC12344	グール	ふむ
ABC12345	asas	
ABC17962	セリーヌ	古いデッキ使おうぜ！
ABC21125	わたぬき	初心者です。
ABC21127	わたぬき	初心者
ABC30533	akihito	aaaaa
ABC74058	聖隷王　ラルド	ラルドseason４です
ABE01234	べーやん	よろしく
ABW37760	YY	よろしくお願いします
AFV42001	クロ	
AGS41536	Pelmar	
AHO20000	いっせい	あは
AHO71022	白玉団子	フォーエバープリンセスがぁぁぁぁぁぁ！！！！！！！
AII35335	ちびけん　虹神	副管理人なりました！リプニツカヤ！！
AIR12345	下関条約	
AJC60007	かませいと	負け続けても、俺は神帝とファフナーを愛するゾォーッ！
AJI65784	ゆー	
AJT99143	orion	
AKB50303	トミシゲ2	IDとかが違いますが、前からいるトミシゲです。
AKI00000	たむってやつ	三❆)'дº);,': ぐぁばべっ！
AKI04422	宮川　晃	よろしくお願いします
AKI99999	永遠	
AKL92981	ブドウ糖	
AKU46696	アクトウゼン	初心者ですが、よろしくおねがいします(^∇^)
ALC00925	生ける伝説の猫	
ALH07007	ATM	
ALL10101	justice	正義は所詮強きものにしか与えられぬ称号。いくら美しくても脆ければ価値はない。
ALO06260	ENTERγ・勲章作成師	<a href=
ALS12346	かん	sadsa
ALT00000	fai	よろしくお願いします
AME00908	雨男	初心者です
AMO35732	ＡTSUSHＩ	デュエルしようぜ！
AMX78105	symphonic	
ANJ12345	しゃちょー	
ANR12345	由紀	ζ*'ヮ')ζ<大正義カブトボーグ
AOI01234	水野	
AOJ69690	omudo	シャングリラと聞くとコープスパーティーが浮かぶのは俺だけ？
AOK74058	不滅の精霊　ラルド	よろしくお願いします　因みに最新殿堂で　推進会階級２－２（休会中）
APE07566	eve12345	
APR40414	たんと	めるにあだいすき
ARA06281	nepia	
ARA97317	かるそだ	
ART01200	aaa	
ASB37110	かませいと	
ASD10661	sadan	
ASD12345	焼肉	
ASW33388	x漆黒刹那x	負け越した…　クッソ
ASW33399	*刹那mk2*	
AWP11522	ogu	
AYB73323	You-ponn	最近復帰したのでお手柔らかに。
AYY62038	エイラ	過去の面影はもうどこにもない今は弱いデュエリスト
AZX11000	環状旋風	最新殿堂に対応しています。 <a href="http://www53.atwiki.jp/dmsuishinparty/" target="_blank">デュエマ推進の会</a>
BBH06092	akihito	aaaaa
BBP43684	ティウス	
BCL04600	yuji	
BDK29790	3jeen	極端が好きです。よろしくおねがいします。
BFB17634	ぴえっち	旧cgi以降のカード分からぬ・・・
BFE10204	JOINUS	
BGA16522	タラバガニ	
BGA64432	みやも	
BIG56547	げきしょ	よろしくね
BJG55713	新谷	
BPM35167	キムチ	デュエルしようぜ！
BQS84136	佐々木	
BRB70314	ａａａａａａａａ	
BSE83324	キョン	
BSI99684	eve12345	
BTL70432	マダオ2	もう勝ちは捨ててますw(ロマン重視)
BVT79858	高坂穂乃果	ああああああ
BYM31296	teturo21	初代（１弾）からやっているんで、古いカードを使うことが多いです。最新殿堂対応
CAT08723	はよねほ	
CBN69796	私です	
CCB26160	chocobi	
CCG29521	yy///	
CCU71848	白い野犬	
