封魔忍法サイクロン-1326,1326,1326,1326,1327,1327,1327,1327,468,1333,1333,1333,1333,118,1337,1337,1336,1336,1345,1345,1345,1350,1350,1350,1350,1349,1349,601,601,104,104,104,104,670,670,670,840,840,840,841-100/dm112.html
黄金のフェニックス-0,0,0,0,546,546,546,546,610,610,610,610,676,676,676,124,124,124,247,247,1080,1080,1080,99,99,1320,1320,1320,1320,468,468,468,468,557,557,118,260,296,838,838-100/dm114.html
漆黒のフェニックス-1326,1326,1326,1326,468,468,468,468,118,1337,1337,260,704,704,704,704,1347,1347,1347,1347,602,1198,1198,1198,1198,1353,1353,1353,104,104,104,104,670,670,670,670,840,840,1101,1101-100/dm115.html
紅蓮のフェニックス-1009,1009,118,1239,1239,1239,1239,320,320,320,1464,1464,1090,1090,1090,542,542,1304,1304,1062,1062,785,785,785,785,79,79,79,79,1474,1474,1474,924,924,924,844,844,844,844,986-100/dm116.html
びっくりライラ-367,367,367,676,676,676,676,1313,247,247,247,247,721,721,1464,1464,1464,542,542,542,542,216,216,1062,1062,1483,1483,1483,785,785,785,79,79,79,79,769,769,769,774,774-100/dm116.html
ずんどこクライシス-118,599,599,599,599,1448,1448,1448,1448,602,104,104,104,104,1364,1364,1365,1365,1365,1365,1456,1456,176,176,603,603,603,603,1090,1090,1090,1090,1386,1386,1386,1386,986,1167,1167,1167-100/dm117.html
野菜鍋-1157,1157,1157,1157,1312,1312,1312,247,247,247,247,612,612,612,612,1275,1275,1275,1275,1467,1467,1468,1468,1468,1468,1397,1397,1397,1397,829,1403,1401,773,773,903,1096,1096,1096,1096,1300-100/dm119.html
タップ＆デストロイAS-1308,1308,1308,1308,1487,1487,1487,1487,676,676,676,676,1309,1309,1309,1309,247,247,247,247,612,612,785,645,645,645,645,1398,1398,1398,1398,1226,1226,1407,1407,1407,773,773,773,773-100/dm119.html
突撃キャプテン・スーパーアタック！-1512,1512,1512,118,1239,1239,1239,1239,320,583,583,583,583,1090,1090,1090,1090,76,76,76,76,785,785,785,79,79,79,79,531,531,531,972,972,972,972,755,755,755,755,986-100/dm120.html
マーズ・アタック！-115,115,468,468,468,468,118,1239,1239,1239,1239,1533,1533,1367,1367,1367,1367,1369,1369,1369,1369,59,59,59,59,60,60,60,60,1565,1565,1565,1565,1371,1371,1376,1376,1376,1376,986-100/dm122.html
マッハ・ドレイク-476,476,57,57,57,57,424,424,424,424,1370,1370,1370,1370,1565,1565,1565,1565,1535,1535,1458,1458,1458,1458,1046,1046,1046,1046,836,836,1461,1461,1461,1461,1379,1379,1090,1090,1090,1090-100/dm122.html
マーキュリーロック-19,19,19,19,1326,1326,1326,1326,1577,1577,1577,1577,468,468,468,232,25,25,25,25,1579,1579,1579,1579,118,1126,1126,1126,1337,1337,1337,1337,1339,1339,1339,1339,320,320,320,320-100/dm123.html
スリリングスリー・セラフィム-1308,1308,1308,1487,1487,1487,1487,1309,1309,1309,1309,247,247,247,247,1275,1275,1275,1275,1398,1398,1398,1398,1497,1497,1497,1497,1402,1402,1407,1407,1407,1407,1500,1500,1500,1500,1552,1552,1552-100/dm124.html
